CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
179678-26-3,,"(R)-2,2',3,3',4,6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
205991-67-9,,"(R)-2,2',3,3',5,6'-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
153153-50-5,,"(R)-2,2',3,3',6,6'-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
153153-44-7,,"(R)-2,2',3,3',6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
176914-47-9,,"(R)-2,2',3,4,4',5',6-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
159000-96-1,,"(R)-2,2',3,4',5',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
205991-69-1,,"(R)-2,2',3,4,5',6-hexachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
153153-46-9,,"(R)-2,2',3,4',6-pentachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
177020-16-5,,"(S)-2,2',3,3',4,4',5,6'-octachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
109328-46-3,,"(S)-2,2',3,3',4,4',6,6'-octachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
176914-48-0,,"(S)-2,2',3,3',4,4',6-heptachlorobiphenyl",Polychlorinated Biphenyls (PCBs),PROHIBITED SUBSTANCES,Shall not be used,,N
